claim_id,manuscript,lines,claim_summary,script_evidence,result_evidence,reproduction,status,limitation
I23,ICECET,520,100k and 20 permutations under ten seconds and survey under three minutes,none,research/ATTEMPT_LOG.md,none,CONTRADICTED,"no historical timing artifact; current smaller suite exceeded claim"
I24,ICECET,524,four ARX design rules,"provenance/original_f8_scripts/arx_topology_sweep.py;provenance/original_f8_scripts/p6_predictions.py",docs/original/,none,PARTIAL,"rules extrapolated from selected cases"
I25,ICECET,"532;542",public module contains formula compiler and all data,src/arx_carry_leak/f8.py,none,"python -m arx_carry_leak --help",CONTRADICTED,"packaged API omits compiler and bit-MI pipeline; raw ICECET output absent"
I26,ICECET,"84;90;500-513",no prior method detects stationary leakage and F8 alone universal,none,none,none,MISSING,"external systematic novelty review required"
N01,NANO,"32-33;59-60",CASI uses output only and no internal knowledge,"src/arx_carry_leak/casi.py;src/arx_carry_leak/live_casi_v091/core.py",results/generated/casi-smoke.json,"python -m arx_carry_leak casi --help",PARTIAL,"portable CLI generates its own counter ciphertext and lacks file input"
N02,NANO,"61;80-96",CASI is compression ratio against block permutations,src/arx_carry_leak/live_casi_v091/core.py,research/results/v1/casi_calibration.json,"./scripts/reproduce_research.sh",CONTRADICTED,"active score excludes compression and uses fresh PRNG baseline"
N03,NANO,"61;84",CASI above two means exploitable structure,src/arx_carry_leak/live_casi_v091/core.py,research/results/v1/casi_calibration.json,"./scripts/reproduce_research.sh",PARTIAL,"empirical heuristic threshold without security game"
N04,NANO,"34;68;120-143;176-177;432",41 implementations across nine families,"src/arx_carry_leak/nano_ciphers.py;tests/test_casi.py",data/reference/full_coverage_matrix.csv,"pytest tests/test_casi.py",EVIDENCED,"registry count and retained matrix agree"
N05,NANO,"34;38",covers every ISO 29167 and NIST 800-232 lightweight cipher,none,none,none,MISSING,"external standards census required"
N06,NANO,"122;234",all 41 implementations validated against official vectors,"tests/test_ciphers.py;research/experiments/reference_vector_audit.py",research/results/v1/reference_vectors.json,"./scripts/reproduce_research.sh",CONTRADICTED,"conference snapshot lacked 41 KATs and multiple registry implementations failed"
N07,NANO,"35;69;181;189-191;214-216;345-366",all ten Speck t 17.87 to 40.40,provenance/original_nano_scripts/f8_sweep.py,data/reference/nano_iot_raw/speck/,none,PARTIAL,"aggregates retained but runner hard-coded and input implementation was faulty"
N08,NANO,"35;38;69;214-216;339-367;433",Speck full-round broken and exceeds neural methods,"provenance/original_nano_scripts/f8_sweep.py;research/experiments/f8_fair_null_suite.py",research/results/v1/f8_fair_null.json,"./scripts/reproduce_research.sh",CONTRADICTED,"related ideal local-round control reproduces effect"
N09,NANO,"35;181-209;222-223;433",frontiers and margins 63-100 percent,provenance/original_nano_scripts/sweep_runner.py,data/reference/nano_iot_raw/,none,PARTIAL,"historical runner not portable and rule differs from paper"
N10,NANO,"35;222-223;303;433",eight families confirm structural integrity,provenance/original_nano_scripts/sweep_runner.py,data/reference/nano_iot_raw/,none,PARTIAL,"under-threshold result is not integrity proof"
N11,NANO,"36;70;227",four anomalous implementations detected,provenance/original_nano_scripts/sweep_runner.py,data/reference/nano_iot_frontier_summary.json,none,PARTIAL,"buggy source snapshots and exact first-run chain absent"
N12,NANO,"230-235;386;434",CASI autonomously diagnosed four faults and six causes,none,none,none,CONTRADICTED,"CASI flags output anomaly but does not diagnose listed source causes"
N13,NANO,"37;161-162;259-278;372-380",aging test values all below two,none,data/reference/aging_simulation.json,none,PARTIAL,"raw summary retained but generator script missing"
N14,NANO,"37;262;375;380",immune to bit flips and zero aging false positives,none,data/reference/aging_simulation.json,none,PARTIAL,"three ciphers and finite seeds cannot establish immunity"
N15,NANO,"37;164;283-288",reliable detection with N 1000,none,data/reference/sample_sensitivity.json,none,CONTRADICTED,"stored results require 5000-10000 for all seeds"
N16,NANO,"38;68;329;436",first compression and full-Speck distinguisher and largest study,none,none,none,MISSING,"external novelty review required and score is not compression-based"
N17,NANO,"63-64",F8 exponential law R2 0.999997,provenance/original_f8_scripts/p5b_beta_fine.py,research/results/v1/f8_fair_null.json,"./scripts/reproduce_research.sh",PARTIAL,"historical fit raw data absent"
N18,NANO,"100-110;154-155",bit MI with N10000 five seeds and t threshold two,provenance/original_nano_scripts/f8_sweep.py,data/reference/nano_iot_raw/,none,CONTRADICTED,"actual run is byte Pearson N20000 ten seeds"
N19,NANO,"148-152",CASI N5000 five seeds every round and all-seeds rule,provenance/original_nano_scripts/sweep_runner.py,data/reference/nano_iot_raw/,none,CONTRADICTED,"raw uses N10000 sparse grids and mean rule; recorded frontiers violate all-seeds criterion"
N20,NANO,"218-220",all ten SIMON t below 2.3,provenance/original_nano_scripts/f8_sweep.py,data/reference/nano_iot_raw/simon/,none,PARTIAL,"aggregates exist but historical SIMON implementation failed KAT"
N21,NANO,"222-223",ASCON and Grain clean and other margins 63-88,provenance/original_nano_scripts/sweep_runner.py,data/reference/nano_iot_raw/,none,PARTIAL,"measurements exist; portable full sweep absent"
N22,NANO,"240;423",standard CASI misses full Speck while F8 detects,provenance/original_nano_scripts/,data/reference/nano_iot_raw/speck/,none,PARTIAL,"measurement exists; F8 cryptographic interpretation unsupported"
N23,NANO,"242-255",Speck carries accumulate and LEA proves iff rule,"provenance/original_f8_scripts/p2_round_constancy.py;provenance/original_f8_scripts/arx_topology_sweep.py",docs/original/,none,CONTRADICTED,"accumulation contradicts fresh regeneration and one-round control"
N24,NANO,"282-296",sample thresholds and linear CASI scaling,none,data/reference/sample_sensitivity.json,none,PARTIAL,"raw summary exists; linearity and rule not tested as stated"
N25,NANO,"302-303",100k reduced-round ASCON and PRESENT values,none,data/reference/reduced_round_detection.json,none,PARTIAL,"summary exists without reproduction script"
N26,NANO,"57;312-320",prior 109 functions and neural methods never full-round,none,none,none,MISSING,"external source verification required"
N27,NANO,"339-340;366-367",avoid Speck and prefer SIMON,research/experiments/f8_fair_null_suite.py,research/results/v1/f8_fair_null.json,"./scripts/reproduce_research.sh",CONTRADICTED,"deployment recommendation rests on unsupported full-cipher game"
N28,NANO,"235;386-392;434;437",architecture-agnostic deployment tool and below two confirms integrity,"src/arx_carry_leak/casi.py;src/arx_carry_leak/live_casi_v091/core.py",research/results/v1/casi_calibration.json,"./scripts/reproduce_research.sh",PARTIAL,"can flag anomalies; negative score is not integrity proof"
N29,NANO,"400-413",only black-box method with full-round and bug detection,"src/arx_carry_leak/casi.py;src/arx_carry_leak/f8.py",none,none,CONTRADICTED,"Speck full-round result uses internal round access and CASI full-round results are non-detections"
N30,NANO,"420-424",no key recovery F8 needs adjacent rounds and CASI misses full Speck,"src/arx_carry_leak/f8.py;src/arx_carry_leak/casi.py",data/reference/nano_iot_raw/speck/,"python -m arx_carry_leak run --profile full",EVIDENCED,"access and measurement statements match"
N31,NANO,"325;329;436-437",empty niche no cipher tuning and directly post-fabrication,"src/arx_carry_leak/live_casi_v091/core.py;src/arx_carry_leak/casi.py",none,none,PARTIAL,"novelty and hardware deployment unvalidated"
